LONGITUDE,LATITUDE,TIMESTAMP,NO
-2.2291,114.083,13082015,348
-2.2304,114.0736,13082015,349
-2.0639,113.9513,13082015,350
-2.0652,113.942,13082015,351
-1.9224,113.6543,13082015,352
-1.6273,113.5934,13082015,353
-1.5938,113.4424,13082015,354
-1.5951,113.4333,13082015,355
-2.2277,114.0767,13082015,356
-2.229,114.0856,13082015,357
-2.2317,114.1035,13082015,358
-2.0628,113.9494,14082015,359
-2.2338,114.1131,14082015,360
-2.2727,114.0975,14082015,361
-2.2597,114.09,15082015,362
-2.2178,113.7874,16082015,363
-2.2568,113.8241,16082015,364
-2.371,114.1602,16082015,365
-2.298,114.0962,16082015,366
-2.2994,114.0869,16082015,367
-2.2615,114.0909,16082015,368
-2.2946,113.8599,16082015,369
-2.2959,113.8507,16082015,370
-2.2348,114.2112,16082015,371
-2.2362,114.2018,16082015,372
-2.2523,114.0896,16082015,373
-2.2419,114.0976,16082015,374
-2.2608,113.9019,16082015,375
-2.2517,113.9006,16082015,376
-2.2636,113.818,16082015,377
-2.2649,113.8089,16082015,378
-2.2545,113.8167,16082015,379
-2.2559,113.8075,16082015,380
-2.2384,113.8641,16082015,381
-2.2397,113.8549,16082015,382
-2.1913,113.9985,16082015,383
-2.2216,113.7869,16082015,384
-2.1773,113.9022,16082015,385
-2.1786,113.893,16082015,386
-2.151,113.7708,16082015,387
-2.06,114.2119,16082015,388
-2.1097,113.7368,16082015,389
-2.111,113.7277,16082015,390
-2.0953,113.7721,16082015,391
-2.1019,113.7264,16082015,392
-2.0597,113.9547,16082015,393
-1.9162,113.477,16082015,394
-1.6585,113.6685,16082015,395
-1.6598,113.6594,16082015,396
-1.6797,113.3293,16082015,397
-2.0959,113.7167,16082015,398
-2.0914,113.7474,16082015,399
-2.1115,113.7191,16082015,400
-2.1062,113.7251,16082015,401
-2.2476,113.8153,16082015,402
-2.2633,113.8177,16082015,403
-2.2621,113.7929,16082015,404
-2.2574,113.8235,16082015,405
-2.0953,113.7247,16082015,406
-2.0985,113.748,16082015,407
-2.2556,113.8144,16082015,408
-2.259,113.8381,16082015,409
-2.247,113.8104,16082015,410
-2.2503,113.8341,16082015,411
-2.094,113.7316,17082015,412
-2.1106,113.7291,17082015,413
-2.2335,114.0974,17082015,414
-2.2482,113.8108,17082015,415
-2.2533,113.8025,17082015,416
-2.2588,113.8372,17082015,417
-1.6277,113.5702,17082015,418
-2.3187,114.097,17082015,419
-2.2928,114.0323,17082015,420
-2.2952,114.027,17082015,421
-2.2542,113.8186,17082015,422
-2.2448,113.8014,17082015,423
-2.2349,113.8095,17082015,424
-2.2255,113.7923,17082015,425
-2.0965,113.7206,17082015,426
-1.6229,113.575,17082015,427
-1.6251,113.5591,17082015,428
-1.616,113.5685,17082015,429
-2.2487,113.8177,17082015,430
-1.905,113.6185,18082015,431
-2.0544,113.9531,18082015,432
-2.0558,113.9624,18082015,433
-2.1445,113.8106,18082015,434
-2.2301,114.2027,18082015,435
-2.2315,114.2123,18082015,436
-2.2304,114.0762,18082015,437
-2.2354,114.0465,18082015,438
-2.2246,113.7928,18082015,439
-2.2341,113.858,18082015,440
-2.2365,113.8101,18082015,441
-2.2433,113.8567,18082015,442
-2.2501,113.9034,18082015,443
-2.2569,113.9503,18082015,444
-2.2456,113.8088,18082015,445
-2.2561,113.8168,18082015,446
-2.2575,113.8261,18082015,447
-2.2877,114.0326,18082015,448
-2.2947,114.08,18082015,449
-2.3159,114.0964,18082015,450
-2.3173,114.1059,18082015,451
-2.3272,114.1727,18082015,452
-2.2322,114.1982,18082015,453
-2.2378,114.0905,18082015,454
-2.2546,113.9026,18082015,455
-2.1036,113.7369,18082015,456
-1.9434,113.5678,18082015,457
-2.2362,113.8101,18082015,458
-2.2607,113.8138,18082015,459
