LATITUDE,LONGITUDE,TIMESTAMP
-1.8929,111.6854,29/08/2015
-1.8661,111.6501,29/08/2015
-1.7835,111.67,29/08/2015
-1.7883,111.6643,29/08/2015
-1.7727,111.6623,29/08/2015
-1.6683,111.4192,29/08/2015
-1.6525,111.4168,29/08/2015
-1.6545,111.4422,29/08/2015
-1.659,111.4109,29/08/2015
-1.5999,111.3702,29/08/2015
-1.6043,111.339,29/08/2015
-1.6464,111.0392,29/08/2015
-1.6205,111.105,29/08/2015
-1.6252,111.0712,29/08/2015
-1.63,111.0367,29/08/2015
-1.6075,111.3668,29/08/2015
-1.6352,111.068,29/08/2015
-1.6402,111.0338,29/08/2015
-1.6188,111.0662,29/08/2015
-1.2496,111.827,29/08/2015
-2.2496,111.3295,29/08/2015
-2.0023,111.5221,29/08/2015
-1.9932,111.5208,29/08/2015
-1.9945,111.5115,29/08/2015
-2.021,111.3253,29/08/2015
-1.9243,111.8752,29/08/2015
-2.2944,111.2771,29/08/2015
-2.2931,111.2866,29/08/2015
-1.8984,111.7973,29/08/2015
-1.8997,111.7882,29/08/2015
-1.8776,111.8163,29/08/2015
-1.8855,111.6966,29/08/2015
-1.8541,111.337,29/08/2015
-1.8533,111.1448,29/08/2015
-1.8547,111.1354,29/08/2015
-1.8199,110.8005,29/08/2015
-1.6339,111.0627,29/08/2015
-1.8515,111.1411,29/08/2015
-1.8526,111.147,29/08/2015
-1.7907,111.6667,30/08/2015
-1.8379,111.824,30/08/2015
-1.8439,111.8175,30/08/2015
-1.8462,111.8338,30/08/2015
-1.8402,111.6221,30/08/2015
-1.9009,111.793,30/08/2015
-1.9032,111.8092,30/08/2015
-1.8956,111.4499,30/08/2015
-1.8978,111.4652,30/08/2015
-2.0228,111.6162,30/08/2015
-2.24,111.247,30/08/2015
-1.9596,111.8511,30/08/2015
-1.9803,111.6406,30/08/2015
-1.9818,111.6307,30/08/2015
-1.9051,111.7965,30/08/2015
-1.8957,111.7951,30/08/2015
-1.9062,111.6543,30/08/2015
-1.873,111.751,30/08/2015
-1.841,111.8386,30/08/2015
-1.8425,111.8285,30/08/2015
-1.8439,111.8184,30/08/2015
-1.897,111.4531,30/08/2015
-1.8158,111.7053,30/08/2015
-1.8452,111.3012,30/08/2015
-1.8466,111.2916,30/08/2015
-1.7968,111.1332,30/08/2015
-1.5418,111.2979,30/08/2015
-1.5348,111.3463,30/08/2015
-1.5399,111.3767,30/08/2015
-1.5385,111.3865,30/08/2015
-1.559,111.3102,30/08/2015
-1.72,110.7632,30/08/2015
-1.7186,110.7724,30/08/2015
-1.658,111.3891,30/08/2015
-1.6566,111.3991,30/08/2015
-1.7329,111.4468,30/08/2015
-1.2633,111.1351,30/08/2015
-1.2734,111.7744,30/08/2015
-1.2924,111.6807,30/08/2015
-1.4301,111.1231,30/08/2015
-1.3405,111.7495,30/08/2015
-1.3971,111.7215,30/08/2015
-1.5683,110.8611,30/08/2015
-1.567,110.8703,30/08/2015
-1.5787,110.9191,30/08/2015
-1.5774,110.9285,30/08/2015
-1.5781,110.9832,30/08/2015
-1.5767,110.9927,30/08/2015
-2.4312,111.7149,31/08/2015
-2.4185,111.7267,31/08/2015
-2.4204,111.7134,31/08/2015
-2.0009,111.5137,31/08/2015
-1.8899,111.8354,31/08/2015
-1.8935,111.8095,31/08/2015
-1.9002,111.8048,31/08/2015
-1.8858,111.8291,31/08/2015
-1.8415,111.8359,31/08/2015
-1.8433,111.8231,31/08/2015
-1.7155,111.1863,31/08/2015
-1.7044,111.1848,31/08/2015
-1.7063,111.1707,31/08/2015
-1.7156,111.1801,31/08/2015
-1.7044,111.1786,31/08/2015
-1.6297,110.8188,31/08/2015
-1.6318,110.8036,31/08/2015
-2.4241,111.7216,31/08/2015
-1.4745,111.1525,01/09/2015
-1.4759,111.1619,01/09/2015
-1.5947,111.0238,01/09/2015
-1.5961,111.0332,01/09/2015
-1.6277,110.8132,01/09/2015
-1.629,110.8224,01/09/2015
-1.6646,111.0649,01/09/2015
-1.666,111.0743,01/09/2015
-1.6964,111.0893,01/09/2015
-1.721,111.1922,01/09/2015
-1.7224,111.2017,01/09/2015
-1.8396,111.8308,01/09/2015
-1.7029,110.8248,01/09/2015
-1.8491,111.8295,01/09/2015
-1.8374,111.6159,01/09/2015
-1.8953,111.8126,01/09/2015
-1.8875,111.5923,01/09/2015
-1.9916,111.7101,01/09/2015
-1.9955,111.7036,01/09/2015
-2.0247,111.638,01/09/2015
-2.2228,111.5366,01/09/2015
-2.2243,111.5466,01/09/2015
-2.4244,111.7217,01/09/2015
-2.4911,111.4148,01/09/2015
-2.4779,111.4418,01/09/2015
-2.4293,111.7202,01/09/2015
-2.2967,111.3556,01/09/2015
-1.9939,111.7398,01/09/2015
-1.9641,111.8846,01/09/2015
-1.9653,111.8755,01/09/2015
-1.9835,111.7476,01/09/2015
-1.9848,111.7385,01/09/2015
-1.9357,111.9546,01/09/2015
-1.9486,111.8638,01/09/2015
-1.9295,111.8737,01/09/2015
-1.969,111.5328,01/09/2015
-1.9309,111.7343,01/09/2015
-1.9599,111.5315,01/09/2015
-1.9219,111.733,01/09/2015
-1.9497,111.4064,01/09/2015
-1.9659,111.226,01/09/2015
-1.8422,111.8363,01/09/2015
-1.8435,111.8273,01/09/2015
-1.8982,110.9154,01/09/2015
-1.8995,110.9057,01/09/2015
-1.8934,110.9092,01/09/2015
-1.8443,111.1188,01/09/2015
-1.7733,111.5494,01/09/2015
-1.7839,111.4753,01/09/2015
-1.8794,110.8072,01/09/2015
-1.7642,111.5481,01/09/2015
-1.7606,111.3768,01/09/2015
-1.7031,110.8202,01/09/2015
-1.6376,110.8108,01/09/2015
-1.632,110.8034,01/09/2015
-1.5703,111.1002,01/09/2015
-1.5717,111.0906,01/09/2015
-1.548,111.0583,01/09/2015
-1.5494,111.0487,01/09/2015
-1.5741,110.8748,01/09/2015
-1.5755,110.8651,01/09/2015
-1.3662,111.9504,01/09/2015
-1.4549,111.136,01/09/2015
-1.3135,111.9337,01/09/2015
-1.3147,111.9247,01/09/2015
-1.3045,111.9324,01/09/2015
-1.2891,111.9762,01/09/2015
-1.2903,111.9671,01/09/2015
-1.316,111.7865,01/09/2015
-1.3173,111.7774,01/09/2015
-1.3152,111.7243,01/09/2015
-1.3061,111.723,01/09/2015
-1.2984,111.7126,01/09/2015
-1.2997,111.7035,01/09/2015
-1.2687,111.7918,01/09/2015
-1.3495,111.027,01/09/2015
-1.3509,111.0175,01/09/2015
-1.2837,111.1766,01/09/2015
-1.2851,111.1672,01/09/2015
-1.8359,111.1181,01/09/2015
-2.2605,111.4296,01/09/2015
-1.9689,111.8792,01/09/2015
-1.9884,111.7511,01/09/2015
-1.993,111.7461,01/09/2015
-1.961,111.8722,01/09/2015
-1.6331,110.8042,01/09/2015
-1.6242,110.8249,01/09/2015
-1.6223,110.8117,01/09/2015
-1.9895,111.7599,01/09/2015
-1.9837,111.7538,01/09/2015
-1.9871,111.7439,01/09/2015
-1.5395,111.0283,02/09/2015
-1.9916,111.7507,02/09/2015
-1.9947,111.7279,02/09/2015
-1.9854,111.7433,02/09/2015
-1.97,111.5529,02/09/2015
-1.9593,111.5276,02/09/2015
-1.9453,111.5256,02/09/2015
-1.951,111.545,02/09/2015
-1.9545,111.5215,02/09/2015
-1.8563,111.8117,02/09/2015
-1.9421,111.2106,03/09/2015
-1.7362,111.4439,03/09/2015
-1.7403,111.0961,03/09/2015
-1.7424,111.0816,03/09/2015
-1.7196,111.0792,03/09/2015
-1.5661,111.1928,03/09/2015
-1.5272,111.1448,03/09/2015
-1.528,111.1404,03/09/2015
-1.4682,111.159,03/09/2015
-2.1711,111.5238,03/09/2015
-1.9621,111.4808,03/09/2015
-1.8802,111.8484,03/09/2015
-1.882,111.8359,03/09/2015
-1.621,110.8117,03/09/2015
-1.9955,111.7491,04/09/2015
-1.6914,110.7908,04/09/2015
-1.2771,111.6559,04/09/2015
-1.8698,111.8246,04/09/2015
-1.8871,111.8269,04/09/2015
-1.8715,111.8298,04/09/2015
-1.8887,111.8325,04/09/2015
-2.2243,111.4565,05/09/2015
-2.1925,111.4768,05/09/2015
